car_probabilities_1,car_probabilities_2,ALPHA,GAMMA,Use_Q_Matrix,Fixed_time_light_change,SIMULATION_TIME,vehicles_stopped,cars_passed
0.2,0.2,0.9,0.15,1,0,100000,27178,39823
0.2,0.2,0.9,0.2,1,0,100000,27653,39968
0.2,0.2,0.9,0.25,1,0,100000,27515,40018
0.2,0.2,0.9,0.3,1,0,100000,26862,40138
0.2,0.2,0.9,0.35,1,0,100000,27988,40154
0.2,0.2,0.9,0.4,1,0,100000,27371,39958
0.2,0.2,0.9,0.45,1,0,100000,26616,40166
0.2,0.2,0.9,0.5,1,0,100000,27204,40029
0.2,0.2,0.9,0.55,1,0,100000,27055,39854
0.2,0.2,0.9,0.6,1,0,100000,26138,39727
0.2,0.2,0.9,0.65,1,0,100000,27505,40014
0.2,0.2,0.9,0.7,1,0,100000,26518,39966
0.2,0.2,0.9,0.75,1,0,100000,26555,39802
0.2,0.2,0.9,0.8,1,0,100000,27254,40043
0.2,0.2,0.9,0.85,1,0,100000,28469,40206
0.2,0.2,0.9,0.9,1,0,100000,26069,39782
